Letter          Count       Frequency
A                389            7.66
B                 94            1.85
C                  7            0.14
D                  4            0.08
E                 38            0.75
F                303            5.97
G                167            3.29
H                125            2.46
I                445            8.76
J                112            2.21
K                415            8.17
L                 10            0.20
M                 50            0.98
N                152            2.99
O                130            2.56
P                 85            1.67
Q                233            4.59
R                 79            1.56
S                233            4.59
T                 82            1.61
U                  5            0.10
V                179            3.53
W                360            7.09
X                324            6.38
Y                373            7.35
Z                684           13.47
