Letter          Count       Frequency
A                535            7.72
B                108            1.56
C                176            2.54
D                244            3.52
E                866           12.50
F                218            3.15
G                169            2.44
H                361            5.21
I                530            7.65
J                 20            0.29
K                 51            0.74
L                330            4.76
M                185            2.67
N                464            6.70
O                581            8.39
P                 96            1.39
Q                  6            0.09
R                408            5.89
S                404            5.83
T                652            9.41
U                173            2.50
V                 77            1.11
W                150            2.17
X                  5            0.07
Y                112            1.62
Z                  5            0.07
